제목,저자,책소개,구매 링크,가격,장르
셜록 홈즈 전집 1 (양장),아서 코난 도일,"002년 국내 최초로 완역본으로 출간되며 추리 소설의 붐을 이끌었던 셜록 홈즈 전집은 최초의 작품인 <주홍색 연구> 이후 출간된 4편의 장편과 56편의 단편을 모은 완간본이다.

그동안 아서 코난 도일 경의 셜록 홈즈 소설은 끊임없이 인구에 회자되어 왔으나 황금가지에서 최초로 출간하기 전까지는 국내에는 한 번도 제대로 번역된 적이 없었기에 일본어 중역본이나 어린이 문고판으로만 접할 수 있었다. 황금가지는 전세계인이 가장 사랑하는 탐정 셜록 홈즈의 모든 이야기를 다룬 셜록 홈즈 전집을 처음 발표 당시의 삽화와 함께 완역본으로 출간하였다.

추리 소설을 읽지 않는 독자라도 누구나 알고 있는 '셜록 홈즈'라는 이 허구의 인물은 1887년 아서 코난 도일 경이 쓴 <주홍색 연구>라는 작품에서 처음으로 등장한 이후, 허구의 인물임에도 실제의 역사적 인물만큼이나 많은 영향을 사람들에게 미쳤다. 지금은 전 세계에 1000여 개에 이르는 국제적인 연구 집단과 동호회, 셀 수 없이 많은 인터넷 커뮤니티가 홈즈와 관련되어 형성되어 있다.",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=329982,"7,920","소설/시/희곡 > 추리/미스터리소설 > 영미 추리/미스터리소설, 소설/시/희곡 > 영미소설"
셜록 홈즈 전집 2 (양장),아서 코난 도일,"제1권의 의문의 살인사건은 맘껏 즐기셨는지 모르겠다. 서두에 비해 뒷부분이 조금 처지는 구성이었지만, 아서 코난 도일은 그런대로 멋지게 오프닝 테이프를 끊은 셈이다. 그렇담, 셜록 홈즈 전집 제2권 ""네 사람의 서명""은 어떻게 우리의 기대를 충족시킬까? 이번엔 도난 당한 보물찾기다.

얼마나 쿨하고 빠르게 사건을 처리하느냐가 관건. 우린 이미 많은 '보물 도난 사건'을 경험했으며, 그 와중에 2명 이상 죽는 것이 예사였음을 기억한다. 아니나 다를까. 이번 사건은 전작에 비해 다소 복잡하다. 작품 전면에 등장하는 피살자만도 2명. 줄거리의 배후에 깔린 죽음도 1건, 도합 3건의 살인사건이다. 뭐, 이 정도면 한 일주일 홈즈가 코카인을 하지 않아도 될 분량이니 크게 걱정할 필요는 없다.

그보다는 와트슨 박사의 은근슬쩍 로맨스에 눈길을 주는 것이 어떨까. 가난하고 몸까지 아픈 와트슨 박사는 홈즈 덕분에 조용하고 차분한 미모의 아가씨와 대면하게 된다. 이번 사건의 의뢰인이 바로 와트슨 박사의 짝꿍. 하! 어쩜 홈즈는 이토록 이성적이고 이토록 무신경할까. 와트슨 박사가 젯밥에 코 빠뜨리고 있는 사이, 홈즈 선생은 사건을 풀기 위해 두문불출한다.

박진감 넘치는 증기선 추격신을 끝으로 사건은 조속하게 마무리된다. 사건의 해결 끝에 따라오는 와트슨 박사의 프로포즈도 방싯 웃음을 머금게 하니 제2권의 재미도 따 놓은 당상이나 다름없다.",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=329984,"9,000","소설/시/희곡 > 추리/미스터리소설 > 영미 추리/미스터리소설, 소설/시/희곡 > 영미소설"
셜록 홈즈 전집 3 (양장),아서 코난 도일,"와트슨 박사의 애인과는 눈인사라도 했는지. 와트슨 박사의 그 고상한 눈맵씨가 유독 두드러졌던 제2권이었다. 이번에는 새로운 사건이다. (아주 당연하게도!) X-파일 연상되는 신비주의, 초현실주의와의 대결이 사건의 핵심. '바스커빌 가문의 개'라는 다소 의미심장한 제목도 으스스한 작품 분위기를 물씬 전해주고 있다.

초현실주의, 신비주의 운운하며 사건의 미궁으로 몰고 가는 것은, 철저하게 범인의 논리다. 범인의 입장에서는 해결불가능한 사건으로 보여야 빠져나갈 여지가 많기 때문이다. 그러나 어디 셜록 홈즈가 귀신이란 존재를 믿는 사람인가. 철두철미하게 이성적이고 과학적인 그 아니었던가.

전대미문의 '바스커빌 사건'도 사실 알고 보면, 유산 상속을 둘러싼 음해 사건임을 밝혀낸 홈즈. 작품 초반에 사고사 당한 찰스 경만 애석하게 되었다. 아, 이 작품을 읽는 방법은 각자 판단에 맞게 범인을 미리 찜해두라는 것. 홈즈의 추리방법과 자신의 방법을 비교해가면서 보는 것이 진짜 묘미다.",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=329985,"9,900","소설/시/희곡 > 추리/미스터리소설 > 영미 추리/미스터리소설, 소설/시/희곡 > 영미소설"
셜록 홈즈 전집 4 (양장),아서 코난 도일,"이번 권은 홈즈 팬들이라면 인내심을 가지고 읽어야 한다. 홈즈의 활약도 좀 부실한 편이고(사건이 워낙 '잔챙이'다 보니), 충실한 서술자 와트슨의 목소리도 절반까지 밖에 들을 수 없다. 그러나 참을 수 있다. 홈즈의 숙적 모리티어 교수와의 대결이 슬슬 시작되기 때문이다.

백만장자 더글라스를 살해한 범인을 찾기 위해 홈즈, 와트슨, 맥 경감은 벌스톤으로 내려간다. 사건은 홈즈의 명쾌한 추리로 맥 빠질 만큼 쉽게 해결된다. 이야기는 미국 광산촌 버미사로 옮겨 가 '존 맥머도'의 목소리로 죽음의 계곡에서 벌어진 끔찍한 살인 사건들을 서술한다.

홈즈 시리즈 전반에 흐르는 빅토리아 시대 특유의 나른하고 예의바른 분위기가 불편했던 독자라면 무법천지 서부의 모습을 고스란히 재현한 2부에서 색다른 즐거움을 느낄 듯하다. 홈즈로 하여금 쓰러뜨리기 위한 '시간'이 필요하다고 말하게 한 모리티어 교수. 그와의 대결이 기대된다.",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=329986,"9,900","소설/시/희곡 > 추리/미스터리소설 > 영미 추리/미스터리소설, 소설/시/희곡 > 영미소설"
셜록 홈즈 전집 5 (양장),아서 코난 도일,"셜록 홈즈 전집 장편 1~4권 출간에 이어 단편이 첫선을 보인다. <셜록 홈즈의 모험>에는 보헤미아 국왕에서부터 전당포 주인, 은행장, 가정교사까지 온갖 종류의 의뢰인이 등장한다.

그런가 하면 거지로 변장하여 돈벌이를 하는 귀족('입술 삐뚤어진 사나이'), 위조 지폐를 찍는 위조범들('어느 기술자의 엄지손가락'), 딸의 재산을 가로채려고 변장하여 딸과 결혼식을 올리는 아버지('신랑의 정체'), 비밀 결사 조직 K.K.K단 ('다섯 개의 오렌지 씨앗') 등 갖가지 범인들도 출현한다.

의뢰인과 범인들 사이로 홈즈는 유유하게 걸아다닌다. 단 한 사람 '보헤미아 왕국 스캔들'의 '그 여자'만 빼고. '그 여자'는 놀라운 기지로 홈즈를 골탕 먹이며 독자들에게 짜릿한 흥분을 안겨준다.

앞서 출간된 <주홍색 연구>, <네 사람의 서명>, <바스커빌 가문의 개>, <공포의 계곡>가 사건 해결 과정을 통해 격변의 세계사를 그렸다면, 이번 책은 당시의 정치, 사회적인 변화와 경찰 사법제도의 확립을 은연중에 보여준다.

경찰을 하대하며, 사건을 해결하는 홈즈. 그의 활동상이 시원한 바람을 일으키는 것은 근대적 국가 통치 시스템에 대한 (독자 공통의) 불신 때문이 아닐까?",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=343427,"11,700","소설/시/희곡 > 추리/미스터리소설 > 영미 추리/미스터리소설, 소설/시/희곡 > 세계의 문학 > 영국문학, 소설/시/희곡 > 영미소설"
셜록 홈즈 전집 6 (양장),아서 코난 도일,"셜록 홈즈의 활약상을 담은 책이 벌써 6권째 출간됐다. 이전의 책들에서처럼, 홈즈는 여전히 왓슨을 동반한 채 중절모에 트렌치 코트를 차려 입고, 종횡무진 사건을 해결하러 뛰어다닌다.

이번 책에 실린 11편의 사건들 역시 만만치가 않다. '실버 블레이즈'에선 경마대회의 최강마와 기수가 실종, 살해된 사건에 맞닥뜨리고, '해군 조약문'에선 에드가 앨런 포의 '도둑맞은 편지'에서처럼 국가의 운명이 걸린 조약문을 되찾아 달란 요청을 받는다.

이전 시리즈와 달리 <셜록 홈즈의 회상록>엔 특기할만한 점이 두 가지 있다. '그리스 어 통역관'에는 홈즈 본인보다 더 인기 있다고도 말해지는 홈즈의 친형, 마이크로프트 홈즈가 처음 등장하며, '마지막 사건'에선 숙적 모리어티 교수와의 대결 끝에 홈즈가 폭포에 빠져 죽는 것으로 처리되는 점이 바로 그것.

그러나 너무 많이 실망하지 마시라. 계속되는 시리즈에 지쳐 '셜록 홈즈'라는 허구적 존재의 삶을 끝내고자 했던 코난 도일이, 독자들의 성화에 못 이겨 <셜록 홈즈의 귀환> 편에서 그를 다시 살려내기 때문이다. 여러 가지 측면에서, 셜록 홈즈 시리즈 중 주목해서 볼만한 책.",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=348231,"10,800","소설/시/희곡 > 추리/미스터리소설 > 영미 추리/미스터리소설, 소설/시/희곡 > 세계의 문학 > 영국문학, 소설/시/희곡 > 영미소설"
셜록 홈즈 전집 7 (양장),아서 코난 도일,"""나의 샘솟는 아이디어는 세월에 녹스는 법도, 관습에 젖어 진부해지는 법도 없다네."" 전편에서 모리어티 교수와 함께 폭포에 떨어져 죽은줄 알았던 셜록 홈즈가 살아 돌아왔다. 그는 언제 왓슨과 독자 곁을 떠난 적이 있나 싶게 천연덕스러운 얼굴로 새로운 사건 수사를 시작한다.

돌아온 그가 처음 맞닥뜨린 사건은 카드도박을 즐겼던 로널드 아데어의 살인사건. 방문과 창이 잠긴 방안에서 발견된 시체의 수수께끼는, 셜록 홈즈의 천재적 추리에 의해 깨끗이 해결된다. 일종의 암호표인 '춤추는 사람 그림'의 풀이과정 역시 흥미진진하다.

런던 시내를 돌며 석고상을 부수고 다니는 범인과 그 이유를 쫓는 '여섯 점의 나폴레옹 상', 세 명의 학생들 중 컨닝한 사람을 찾아내는 '세 학생' 등의 작품에서도 홈즈의 추리는 여전히 빛난다. 책 마지막에 실린 '두번째 얼룩'은 에드가 앨런 포의 '도둑맞은 편지'와 비교하면서 보면 재미있을듯.

10년간의 공백이 무색하게, 오히려 한층 더 깊어지고 넓어진 코난 도일의 작품세계를 만날 수 있다. 셜록 홈즈가 왜 그렇게 많은 이들에게 오래도록 사랑받는지 알 수 있는 책.",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365283,"10,800","소설/시/희곡 > 추리/미스터리소설 > 영미 추리/미스터리소설, 소설/시/희곡 > 영미소설"
셜록 홈즈 전집 8 (양장),아서 코난 도일,"홈즈 이야기 중 국내에 가장 널리 알려진 에피소드 중 하나인 '브루스파팅턴 호 설계도'와, 1차 세계대전 당시 발표된 '마지막 인사'가 실려 있다. 전쟁의 그늘이 짙게 깔린 암울한 시기에 쓰여진 이 단편에서는, 국익을 위해 활약하는 홈즈의 새로운 모습을 볼 수 있다.",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=374820,"8,100","소설/시/희곡 > 추리/미스터리소설 > 영미 추리/미스터리소설, 소설/시/희곡 > 영미소설"
셜록 홈즈 전집 양장 세트 - 전9권 (2판),아서 코난 도일,"10년 넘게 200만 이상 판매되며 국내 독자의 사랑을 꾸준히 받아온 황금가지의 셜록 홈즈 전집. 타사와 차별화된 소장용 양장본이면서도 번역 및 편집을 새로이 한 신판이다. 2002년 국내 최초로 완역본으로 출간되며 추리 소설의 붐을 이끌었던 셜록 홈즈 전집은 최초의 작품인 <주홍색 연구> 이후 출간된 4편의 장편과 56편의 단편을 모은 국내 첫 완간본이다.

황금가지는 전세계인이 가장 사랑하는 탐정 셜록 홈즈의 모든 이야기를 다룬 셜록 홈즈 전집을 처음 발표 당시의 함께 수록되었던 삽화가 시드니 파젯 등 8인의 삽화 500여 점과 함께 완역본으로 출간하였다.

또한 황금가지는 셜록 홈즈를 관리하는 아서 코난 도일 재단의 공식 셜록 홈즈 시리즈 <실크하우스의 비밀>과 <모리어티의 죽음> 등을 출간하고 있어, 한국 최고의 셜록 홈즈 전집의 정통성을 확보함과 동시에 팬들에게 새로운 기쁨을 선사하기도 했다. <셜록 홈즈 : 실크 하우스의 비밀>은 한 해 동안 10만 부 이상의 판매를 올리며, 셜록 홈즈의 활약을 다시 보고픈 독자들의 오랜 갈증을 풀어 주었다.

추리 소설을 읽지 않는 독자라도 누구나 알고 있는 '셜록 홈즈'라는 이 허구의 인물은 1887년 아서 코난 도일 경이 쓴 <주홍색 연구>라는 작품에서 처음으로 등장한 이후, 허구의 인물임에도 실제의 역사적 인물만큼이나 많은 영향을 사람들에게 미쳤다. 지금은 전 세계에 1000여 개에 이르는 국제적인 연구 집단과 동호회, 셀 수 없이 많은 인터넷 커뮤니티가 홈즈와 관련되어 형성되어 있다.",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383268,"54,000","소설/시/희곡 > 추리/미스터리소설 > 영미 추리/미스터리소설, 소설/시/희곡 > 세계의 문학 > 영국문학, 소설/시/희곡 > 영미소설"
셜록 홈즈 전집 9 (양장),아서 코난 도일,"셜록 홈즈 시리즈의 마지막 권. 왓슨의 시각으로 이야기를 전개해나간 전작들과 달리, 홈즈의 일인칭 시점에서 씌어진 단편들('탈색된 병사', '사자의 갈기')이 실려있는게 눈에 띈다. 또한 아서 코난 도일이 만년에 심령주의에 심취했다는 사실도 언뜻 엿볼 수 있다.",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=381882,"9,000","소설/시/희곡 > 추리/미스터리소설 > 영미 추리/미스터리소설, 소설/시/희곡 > 영미소설"
